Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,company_text,job_state,age,python_ym,R_ym,spark,aws,excel
Staff Data Scientist I,127 k$-203 k$ (Esti. de Glassdoor),"Data Scientist – Machine Learning & Real-Time Decision Processing (Remote, US)

Valassis is a leader in online advertising technology. We process over 12 trillion calculations daily to analyze and decide on more than 110 billion digital ad requests. As a Data Scientist at Valassis your work is central to keeping us at the forefront of the AdTech industry.

We are seeking data experts who are passionate about using cutting edge technology and data science methods to solve unique and complex problems. The ideal candidate is innately curious about how data can be used to tell a story and inform decisions. You have honed your skills through a combination of education, work experience, and hobbies. You are excited about the complexity and challenges of creating intelligent, high performance systems while working with a highly experienced and driven data science team.

If this describes you, we are interested. You can be an integral part of a cross-disciplinary team working on highly visible projects that improve performance and grow the intelligence in our product suite. Our day to day work is performed in a progressive, high-tech workspace where we focus on a friendly, collaborative and fulfilling environment.

On any given day you’ll be…
Using geo location data to track foot traffic, commercial visitation and next most likely visit to understand consumer physical behavior.
Using online behavior data to determine the primary interest categories of consumers and the web properties they visit.
Implementing a predictive model to determine whether a person is likely to visit a car dealership based on the advertising signals they’ve received.
Monitoring & improving a system that deploys and refits 10’s of thousands of models daily.
Developing algorithms to optimize the setting of every lever in a high throughput real-time decision system.
Analyzing data to better understand how a neighborhood’s consumption of web pages correlates with visits to a local big box store.
Finding the handful of outliers in billions of transactions.
Deriving a set of new features that will help better understand the interplay between geography and audience features to improve model performance.
Building new products with applied AI and bring them to market.
Participating in planning, roadmap, and architecture discussions to help evolve our AI processes to improve revenue-generating products.
Our ideal candidate will likely have…
The professional experience and desire to perform responsibilities similar to those listed above
An advanced degree in a relevant, quantitative field or equivalent experience working with Big Data and Spark in a professional setting
Ability to grow and ultimately mentor team members of varying experience levels and competencies through data science, product and software development life cycles
WHO WE ARE
Valassis is a leading digital marketing intelligence company, providing a best-in-class data management platform and online and offline targeting capabilities that fuel superior display advertising and media offerings. Through proprietary technology and the Valassis Digital Consumer Graph™, we power the lifecycle of marketing campaigns – from planning to activation and measurement. In fact, 19 of 20 leading brands work with Valassis to drive better campaign performance.

WHAT'S IN IT FOR YOU?
Valassis has a generous total rewards benefits package that includes medical, dental and vision coverage, 401k and PTO allowance. A wide variety of additional benefits like life insurance, employee assistance and pet insurance are also available; not to mention smart and friendly coworkers!

Valassis is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Applicants who have disabilities may request that accommodations be made in order to complete the selection process.

EEO is the law. To review your rights under Equal Employment Opportunity please visit: www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf.

#LI-JM1",3.4,"Valassis
3.4","Morrisville, NC",-1,1001 to 5000 Employees,1970,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,127,203,165.0,"Valassis
",Morrisville,50,0,0,1,0,0
Sr. Data Scientist,71 k$-118 k$ (Esti. de Glassdoor),"Medifast is seeking a full-time Senior Data Scientist to join our team.
The Senior Data Scientist will be responsible for anticipating future business needs, solving real-time business questions, and identifying new applications for complex analysis.
The candidate focus will be using Machine Learning for the following use cases at Medifast:
Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, Natural Language Processing, AB Testing, and Customer Segmentation (Unsupervised Learning).

Employ machine learning and statistical modeling to generate new features to feed into our data core. Key Models include: Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, and Customer Segmentation
Use storytelling to bring out the insights derived from machine learning and statistical modeling making the complex easy to follow and digestible
Perform automated market analyses to dynamically react to changing market conditions
Discover new predictive insights in our datasets and design measures that compute new predictive models while using data visualization methodology
Assist the Insights Center Manager in using Data Science to enhance the Insights Roadmap and assist in the selection of Data Science products to help enable and maintain the Data Science stack
Create measures that monitor inputs and performance on a real-time basis to inform the insights council when unexpected changes arise.
Be active in communications with business users and data management resources to collaborate through a project lifecycle as data changes occur
Aid and train end super users to effectively use the Data Science platform
Coordinate with offshore technical resources

PHD degree or equivalent preferred in Applied Statistics, Mathematics or a related data field
5-8 years related experience
Executing solutions to business problems using advanced statistics, testing methods, data analysis, data mining, predictive modeling, optimization, and machine learning techniques;
Design and run end-to-end experiments with statistical rigor for test and learn, apply appropriate sampling methods and probabilistic simulations to hypothesis testing and parameter estimation including bootstrapping
Perform data exploration and visualization (using Tableau and other visualization tools), apply machine learning and statistical inference to seed hypotheses, identify opportunities, define metrics, provide interpretability to multi-dimensional scoring, regressor and classifier models, and decision tree learning, using novel methods;
Employ statistical programming through, Python, R, Dataiku, and toolkits (Scikit-learn, Pandas, Numpy, Scipy, PySpark, Jupyter Notebook and kernel, Macro) across disparate environments including Linux/Unix command line and shell scripting, virtual and clouds
Execute and automate data preprocessing via relational systems (AWS, Redshift, SQL Server, MySQL, Postgre, and, Oracle), and parallel computing for big data, using analytics engine and cluster computing frameworks: Apache Spark and Hadoop MapReduce, Apache Tez, and Yarn.
#LI-JP1",3.0,"Medifast, Inc.
3.0","Baltimore, MD",-1,501 to 1000 Employees,1980,Company - Public,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD),71,118,94.5,"Medifast, Inc.
",Baltimore,40,1,0,1,1,0
FCC Data Scientist,73 k$-121 k$ (Esti. de Glassdoor),"Summary: The FCC Analytics group is responsible for the development and management of the BSA/AML, Fraud and Quality Control analytics functions. The group tunes the financial crimes models dedicated to the detection of suspicious activity and fraudulent transactions as well as those designed to risk rate customers and screen against OFAC designated lists. Additionally, the group manages application related implementations, maintenance and enhancements and the development of reporting and visual analytics used for investigations, KPI tracking, quarterly reporting and annual risk assessments.

The primary purpose of this position is to assist with the management of the Fraud and BSA/AML models related to transaction monitoring, customer risk rating, OFAC fuzzy logic filtering, and transactional fraud mitigation strategies. The individual that fulfills this position must understand the general dynamics of model risk management as set forth by OCC guidelines. Furthermore, the candidate must also have experience with SQL, quantitative stat based analytics (such as standard deviation, percentile distributions, k-means, clustering, etc.), model forecasting and reporting analytics (including visual and flowchart modeling) amongst other skill sets around management of information systems. Requires basic commercial awareness.

ESSENTIAL DUTIES AND RESPONSIBILITIES: While other duties and special projects may be assigned, the primary duties and responsibilities include the following:
Conduct assessments of models and provide reports detailing the current state of data feeds, rule output at current settings, and alert outputs at alternative settings.
Utilize Oracle SQL to the extent of simulating model output.
Identify potential logic deficiencies in model outputs through cross validation of external analyses
Assist with the identification, evaluation, and development of controls to mitigate FCC risk and operational impacts.
Research, develop, prototype and test new models and their related inputs.
Assist with annual FCC model tuning and optimization efforts in line with regulatory expectations to meet false-positive and detection rate criteria; performs quantitative analysis on the alert output of each tuning cycle (able to prepare reports detailing forecast results).
Perform model management reviews for the ongoing assessment of model suitability against emerging risk.
Assist with data integrity and validation testing on FCC projects including software implementations, operational enhancements related to efficiency gains, and other special projects as needed including the coordination of software updates in collaboration with the Bank's IT Department and or Project Management Office.
Support manager with resolving of open issues and/or defects involving applications used by the FCC Department including the identification of issues, tracking, escalation, testing, and resolution.
Maintain business definitions in the form of a data dictionary for all department managed models.
Prepare reports in a manner that is clear and comprehensible to FCC supervisors/managers, internal auditors and regulatory examiners.
Communicate production issues with key stakeholders such as business lines, FCC management team, and the IT Department.
Create documentation and provide technical training to business users as needed (this includes training post model tuning deployments and on new enhancements).
If necessary, effectively communicate with the business lines in order to obtain the necessary information and documentation to complete model improvements.
Handle a large workload with the ability to complete the tasks correctly and efficiently within the designated timeframes exercising discretion in setting priorities.
Communicate effectively to different audiences, including both business and technical parties.
Possess a general understanding of banking with respect to BSA/AML and Fraud risks.
Perform any other assignments as directed by manager.
EDUCATION and/or EXPERIENCE

Bachelor's degree in Computer Science, Management Information Systems or related field.
At least 3 years working with data modeling, software implementation, enhanced reporting analytics or related experience preferably with a financial institution.
Advanced experience with data mining/analytical tools such as R and Python
Strong knowledge of Structured Query Language (SQL), Oracle programming language, data mining techniques, and Business Intelligence Tools
Strong database skills, including working with advanced data sets, pivot tables, advanced database and statistical functions and methods
Experience visualizing data using tools such as Tableau
Experience with developing and implementing Fraud and BSA/AML risk strategies in decision engines, detection tools and onboarding platforms.",3.0,"BankUnited
3.0","Miami Lakes, FL",-1,1001 to 5000 Employees,2009,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),73,121,97.0,"BankUnited
",Miami Lakes,11,1,0,0,0,0
Spark/Big Data Engineer,52 k$-101 k$ (Esti. de Glassdoor),"The Data Consumption team of Decision Sciences and Transformation (DSaT) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.

Basic Qualifications:

At least two years of experience with SQL and Java or Scala

Experience with manipulating and transforming data

Exposure to NoSQL databases, Spark and the Hadoop Ecosystem (MapReduce, Oozie, Hive, Pig)

Strong critical thinking, decision making, and problem-solving skills

Excellent verbal/written communication skills, including communicating technical issues to non-technical audiences

Bachelor’s degree in a computer related field or equivalent professional experience required

Preferred Qualifications:

Experience in designing efficient and robust ETL/ELT workflows, schedulers, and event-based triggers

Experience with Spark core and Spark SQL
Experience as a Big Data Developer

Exposure to Data Mining, Data Engineering and Data Modeling

Exposure to Graph Databases

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

Qualifications
About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Benefits:

As a full-time Big Data Developer, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:

Premier Medical, Dental and Vision Insurance with no waiting period**

Paid Vacation, Sick and Parental Leave

401(k) Plan with Profit Sharing
Tuition Reimbursement
Paid Training and Licensures
Benefits may be different by location. Benefit eligibility requirements vary and may include length of service.
*Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.",3.4,"GEICO
3.4","Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),52,101,76.5,"GEICO
",Chevy Chase,84,0,0,1,0,1
Data Scientist,79 k$-127 k$ (Esti. de Glassdoor),"Job Title: Data Scientists

Job Description
Join an elite group dedicated to continuous personal improvement as GCT is currently seeking Data Scientists of all levels to support an intelligence agency with insights gained from analyzing voluminous sensor data. The ideal candidate is adept at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. Candidates must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Clearance: TS/SCI w/Full scope polygraph (or used within the past 24 months)

Education/Experience Requirements

Senior Positions:
Masters degree in Data Science, Statistics, Mathematics, Computer Science or another quantitative field, or extensive comparable experience
10+ years of relevant experience
Junior/Intermediate Positions
Completed B.S. in Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, or a closely related technical field
3-9 years of relevant experience
Qualifications
Experience using statistical computer languages (SAS, SPSS, R, Python, SLQ, etc.) to manipulate data and draw insights fromlarge data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills
Strong problem solving skills
A drive to learn and master new technologies and techniques
Desired Skills
Experience manipulating data sets and building statistical models
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Bayes, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, AWS, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
The success of Great-Circle Technologies depends on the success and well-being of its employees. GCT promotes work/life balance and encourages the overall well-being of each of its contributors. A comprehensive benefits package is provided, which currently includes company paid single medical, dental, life, disability, and long-term care insurances (with contributions to family premiums,) matching 401k plan, 34 days off per year including 10 Federal holidays plus the day after Thanksgiving, Christmas and New Year’s eves!

Join us at Great-Circle Technologies, where innovation is the shortest distance between two points.

Great-Circle Technologies is an Equal Opportunity Employer. Great-Circle Technologies ensures all qualified applicants will receive consideration for employment without regard to gender, race, ethnic background, religion, disability, sexual orientation, gender identity, national origin, age, or protected veteran status.",2.2,"Great-Circle Technologies
2.2","Chantilly, VA",-1,1 to 50 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),79,127,103.0,"Great-Circle Technologies
",Chantilly,20,1,0,1,1,1
Data Scientist,93 k$-152 k$ (Esti. de Glassdoor),"AIS has a workshare opportunity for a Data Scientist (TS/FSPOLY required) on a large, newly awarded contract. In this role you will develop machine learning, data mining, statistical and graph-based algorithms to analyze and make sense of datasets; prototype or consider several algorithms and decide upon final model based on suitable performance metrics.
Roles and Responsibilities:
Produce data visualizations that provide insight into dataset structure and meaning
Work with subject matters experts (SMEs) to identify important information in raw data and
develop scripts that extract this information from a variety of data formats (e.g., SQL tables, structured metadata, network logs)
Incorporate SME input into feature vectors suitable for analytic development and testing
Translate customer qualitative analysis process and goals into quantitative formulations that are coded into software prototypes
Develop and implement statistical, machine learning, and heuristic techniques to create descriptive,
predictive, and prescriptive analytics
Develop statistical tests to make data-driven recommendations and decisions
Develop experiments to collect data or models to simulate data when required data are unavailable
Develop feature vectors for input into machine learning algorithms
Identify the most appropriate algorithm for a given dataset and tune input and model parameters
Evaluate and validate the performance of analytics using standard techniques and metrics (e.g.cross-validation, ROC curves, confusion matrices)
Required Education, Experience and Skills
Master's degree in a quantitative discipline(e.g., statistics, mathematics, operations research, engineering, or computer science).
A Ph.D. in a quantitative discipline can be substituted for three years of experience
Five years of experience analyzing datasets and developing analytics.
Five years of experience programming with data analysis software such as R, Python, SAS, or MATLAB.
An additional two years of experience in software development, cloud development, analyzing datasets or developing descriptive, predictive, and prescriptive analytics can be substituted for a Master's degree.
U.S. Citizenship Required
Must possess a TS/FSPOLY clearance
EOE/AA Disability/Veteran",4.3,"Assured Information Security, Inc. (AIS)
4.3","Fort Meade, MD",-1,201 to 500 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),93,152,122.5,"Assured Information Security, Inc. (AIS)
",Fort Meade,19,1,0,0,0,0
Technical Service Field Scientist – Biofuels North America,58 k$-101 k$ (Esti. de Glassdoor),"Pioneer a brighter future
At Novozymes, we work in close partnership with our customers and the global community to make a sustainable impact. We use science to advance industries, and as part of Agriculture & Bioenergy, you will work across the agricultural value chain to provide biological solutions that help feed and fuel a growing world.

Technical Service Field Scientist – Biofuels North America
The US ethanol industry is an exciting and dynamic place to work and we are looking for motivated individuals to implement our market-leading products and services.

We are looking for an experienced and personable candidate to join our Biofuels Technical Service team. In this role, you will work with our customers at ethanol plants across the US to learn their processes, understand their challenges, and deliver products and services from Novozymes’ wide portfolio. This will require strong collaboration both with the ethanol producers and the Novozymes Biofuels team.

To be successful in this role, you should be a strong logical thinker with the ability to solve complex technical problems and communicate in an understandable and convincing manner. In addition, you should have a business understanding of how the science will impact economic factors for Novozymes and our customers. In this dynamic and evolving industry, you will need to be able to adapt to exciting and ever-changing information and technology.

Location
The position will ideally be based out of a home office in Kansas City, MO or the surrounding states including Missouri, Illinois, Iowa, and Nebraska.

In this position you need to have:
A minimum of 4 years of relevant experience in the Ethanol industry or Agricultural industry.
A minimum of a BS degree in a scientific field such as Engineering, Chemistry, Biology, Microbiology, Biochemistry.
A solid science background, including engineering, data analysis and fermentation.
Both process experience in the ethanol or corn milling industry and experience working in a technical service or technical sales role (would be ideal).
Ability to travel approximately 50%.

Note: The job level can potentially be adjusted to accommodate applicants with significantly more experience

Are you the next Zymer in our team? Consider a career with Novozymes and let’s realize your potential together.

Novozymes is the world leader in biological solutions. Together with customers, partners and the global community, we improve industrial performance while preserving the planet’s resources and helping build better lives. As the world’s largest provider of enzyme and microbial technologies, our bioinnovation enables higher agricultural yields, low-temperature washing, energy-efficient production, renewable fuel and many other benefits that we rely on today and in the future. We call it Rethink Tomorrow. www.novozymes.com

Novozymes is committed to creating a diverse environment and is proud to be an equal opportunity and affirmative action employer. All employment decisions are based on business needs without regard to race, color, ethnicity, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, disability or veteran status.

Application deadline: October 30, 2020",3.8,"Novozymes
3.8","Ames, IA",-1,5001 to 10000 Employees,2000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),58,101,79.5,"Novozymes
",Ames,20,0,0,0,0,0
Data Engineer,45 k$-84 k$ (Esti. de Glassdoor),"Company Generac Power Systems

Name Data Engineer

Req # 55260

Location TBD

Employment Type Full Time

Shift 1st

SERIOUS POWER, COMPELLING CAREERS!
It’s a challenge, and an invitation. Most importantly, it’s an opportunity to join an industry leader. There’s never been a better time to work at Generac. We’re shaping the market and investing in new companies and new technologies. Our rapid growth equals rapid career advancement opportunities for those who want to be challenged and enjoy a fast-paced, high-performance culture.
We are seeking a technology driven engineer to join our expanding Connectivity team at our headquarters in Waukesha, WI. As a Data Engineer, you are responsible for expanding and optimizing our data and data pipeline architecture as well as optimizing data flow and collection for cross functional teams. This position will optimize and build data systems as well as support software developers, data analysts and data scientists on data initiatives to ensure optimal data delivery architecture that is consistent throughout ongoing projects. You must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing our data architecture to support.

Essential Duties and Responsibilities :

Create and maintain optimal data pipeline architectures
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Azure ‘big data’ technologies
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics
Assemble large, complex data sets that meet functional / non-functional business requirements
Build processes supporting data transformation, data structures, metadata, dependency and workload management
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs
Work with data and analytics experts to strive for greater functionality in our data systems
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Identify, design, and implement designs to keep our global data separated and secure across national boundaries

Minimal Qualifications:
Bachelor degree in Computer Science or equivalent experience 5 years of experience in a Data Engineer or Data Developer role 3 years of experience in building and optimizing ‘big data’ data pipelines, architectures and data sets.
Preferred Qualifications:
Production experience using cloud based big data tools Production experience with multiple sql databases, such as SQL Server, Oracle, Progress, etc. Production experience with one or more non-sql databases, such as CosmosDB, DynamoDB, Cassandra, or MongoDB 3+ years with object oriented/object function development languages such as C#, Python, Java, JavaScript, e
Knowledge, Skills and Abilities:
Experience with big data tools such as Azure Data Bricks, Azure Synapse, etc. Experience with data pipeline and workflow management tools such as Azure Data Factor Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. Experience with devops practices, CI/CD concepts, cloud infrastructure and resources Strong analytic skills related to working with both structured and unstructured datasets. Experience manipulating, processing and extracting value from large disconnected datasets. Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores. Strong project management and organizational skills. Experience supporting and working with cross-functional teams in a dynamic environment.
Physical demands: While performing the duties of this job, the employee is regularly required to talk and hear; and use hands to manipulate objects or controls. The employee is regularly required to stand and walk. On occasion the incumbent may be required to stoop, bend or reach above the shoulders. The employee must occasionally lift up to 25 pounds. Specific conditions of this job include are typical of frequent and continuous computer-based work requiring periods of sitting, close vision and ability to adjust focus. Occasional travel.

“We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.”",2.6,"Generac Power Systems
2.6","Waukesha, WI",-1,1001 to 5000 Employees,1959,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),45,84,64.5,"Generac Power Systems
",Waukesha,61,1,0,0,0,0
Scientist,46 k$-105 k$ (Esti. de Glassdoor),"Why Join Revenue Analytics?
Because you have exceptional talents and you want to be part of a fun and highly collaborative team that creates analytical products and solutions to eliminate the unknowns in business problems for world-renowned companies.

What's In It For You?
· Competitive base salary
· 100% paid healthcare including medical, dental, and vision coverage for our employees and their families
· 100% paid life insurance, long and short-term disability coverage for team members
· 401k plan with a generous match and is vested immediately
· Company issued cell phone or phone allowance
· 18 days PTO, 9 paid holidays, and unlimited sick time
· Gym membership reimbursement
· Flexible work arrangements
· Once again voted a Top Workplace in Atlanta in 2020!

Come help us execute the vision and roadmap for our product analytics and hey, while you’re at it…why not give our customers the confidence and trust that they’re making the best pricing decisions possible (all provided by your whip-smart data and analytics chops)?
A Day In the Life
You will develop and implement the predictive analytics models that form the backbone of our products, leveraging Revenue Analytics precedent and Atlas toolkits
Translate business needs and processes into modeling requirements
Do parameter tuning of forecast and/or optimization models to best fit a customer’s data
Deliver analysis and models results that meet key Quality Assurance standards (i.e., reasonability checks, error checks, etc.)
Communicate your analysis, models, and insights effectively in business language to customers and internal Team Members
Effectively explain to customers and prospects how the analytics in our products work and address customer questions about model recommendations
Complete analysis in a repeatable way that can be leveraged across multiple customers and situations
Keep up to speed with data science trends and news so that you can incorporate new methodologies and approaches as appropriate.
Who You Are
Master’s degree or foreign equivalent in Operations Research, Economics, Engineering, or another applied mathematics discipline and at least one year of experience applying research to Revenue or Yield Management issues
In lieu of a master's or the foreign equivalent degree and one year of stated experience, we will accept a Ph.D. or foreign equivalent degree in one of the above specified fields
Must also have experience solving business problems using statistics, machine learning or optimization; and using Python, R, or SQL analytical tools
Who We Are
A pioneer of Revenue Management, Revenue Analytics is an enterprise SaaS company that partners with hospitality, media, and passenger rail companies to solve their most complex pricing challenges. By leveraging powerful analytics and deep strategic experience, Revenue Analytics’ next-generation software delivers intuitive answers to help companies perfect their pricing, reclaim missed revenue, and take back their time. To learn more about how Revenue Analytics is recreating Revenue Management, visit revenueanalytics.com or follow us on Twitter and LinkedIn.

Revenue Analytics embraces diversity and is an equal opportunity. We are committed to building a Team that represents a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be.",4.1,"Revenue Analytics
4.1","Atlanta, GA",-1,51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),46,105,75.5,"Revenue Analytics
",Atlanta,15,1,0,0,0,0
Data Engineer,102 k$-187 k$ (Esti. de Glassdoor),"PulsePoint Data Engineering team plays a key role in our technology company that’s experiencing exponential growth. Our data pipeline processes over 80 billion impressions a day (> 20TB of data, 220 TB uncompressed). This data is used to generate reports, update budgets, and drive our optimization engines. We do all this while running against extremely tight SLAs and provide stats and reports as close to real-time as possible.

The most exciting part about working at PulsePoint is the enormous potential for personal and professional growth. We are always seeking new and better tools to help us meet challenges such as adopting proven open-source technologies to make our data infrastructure more nimble, scalable and robust. Some of the cutting edge technologies we have recently implemented are Kafka, Spark Streaming, Presto, Airflow, and Kubernetes.

What you'll be doing:
Design, build and maintain reliable and scalable enterprise level distributed transactional data processing systems for scaling the existing business and supporting new business initiatives
Optimize jobs to utilize Kafka, Hadoop, Presto, Spark Streaming and Kubernetes resources in the most efficient way
Monitor and provide transparency into data quality across systems (accuracy, consistency, completeness, etc)
Increase accessibility and effectiveness of data (work with analysts, data scientists, and developers to build/deploy tools and datasets that fit their use cases)
Collaborate within a small team with diverse technology backgrounds
Provide mentorship and guidance to junior team members
Team Responsibilities:
Installation, upkeep, maintenance and monitoring of Kafka, Hadoop, Presto, RDBMS
Ingest, validate and process internal & third party data
Create, maintain and monitor data flows in Hive, SQL and Presto for consistency, accuracy and lag time
Maintain and enhance framework for jobs(primarily aggregate jobs in Hive)
Create different consumers for data in Kafka using Spark Streaming for near time aggregation
Train Developers/Analysts on tools to pull data
Tool evaluation/selection/implementation
Backups/Retention/High Availability/Capacity Planning
Review/Approval - DDL for database, Hive Framework jobs and Spark Streaming to make sure they meet our standards
24*7 On call rotation for Production support
Technologies We Use:
Airflow - for job scheduling
Docker - Packaged container image with all dependencies
Graphite/Beacon - for monitoring data flows
Hive - SQL data warehouse layer for data in HDFS
Impala- faster SQL layer on top of Hive
Kafka- distributed commit log storage
Kubernetes - Distributed cluster resource manager
Presto - fast parallel data warehouse and data federation layer
Spark Streaming - Near time aggregation
SQL Server - Reliable OLTP RDBMS
Sqoop - Import/Export data to RDBMS
Requirements
BA/BS degree in Computer science or related field
5+ years of software engineering experience
Fluency in Python, Experience in Scala/Java is a huge plus (Polyglot programmer preferred!)
Proficiency in Linux
Strong understanding of RDBMS, SQL;
Passion for engineering and computer science around data
Knowledge and exposure to distributed production systems i.e Hadoop is a huge plus
Knowledge and exposure to Cloud migration is a plus
Willingness to participate in 24x7 on-call rotation
Benefits
Comprehensive healthcare with 100%-paid medical, vision, life & disability insurance
401(k) Match and free access to a financial advisor
Generous paid vacation and company holidays
Vacation reimbursement (we give you $500 each year to take vacation), sabbatical, pawternity leave, marriage leave, honeymoon bonus
$2,000 annual training and development budget
Complimentary annual memberships to One Medical (for you and your family), NY Citi Bike and SF Ford GoBike
Paid parental leave and a lot of new parent perks
Gym reimbursement, local gym membership discounts
$100 work-from-home productivity stipend
Annual company retreat
Up to $100 emergency childcare credit per year
Volunteer Time Off and Donation Matching, ongoing group volunteer opportunities
Game Nights, meditation/mindfulness sessions, fitness and stretch classes, book club, health and wellness seminars and workshops, weekly virtual happy hours with DJ
And there’s a lot more!",4.4,"PulsePoint
4.4","New York, NY",-1,51 to 200 Employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),102,187,144.5,"PulsePoint
",New York,9,1,0,1,0,0
